Provincia,Partido,Votos
Huelva,UPyD,1014
Huelva,VOX,460
Huelva,Recortes Cero-Grupo Verd,336
Huelva,PCPE,307
Huesca,PP-PAR,39747
Huesca,PSOE,30183
Huesca,PODEMOS,21943
Huesca,C's,19789
Huesca,IU-UP,6433
Huesca,UPyD,833
Huesca,PACMA,792
Huesca,PCPE,257
Huesca,Recortes Cero-Grupo Verd,249
Jaén,PSOE,148511
Jaén,PP,121984
Jaén,PODEMOS,48640
Jaén,C's,41398
Jaén,IU-UP,16771
Jaén,PACMA,2543
Jaén,UPyD,1287
Jaén,VOX,715
Jaén,PCPE,469
Jaén,Recortes Cero-Grupo Verd,371
León,PP,104077
León,PSOE,74128
León,PODEMOS,51441
León,C's,37902
León,IU-UP,13997
León,UPyD,2047
León,PACMA,1838
León,VOX,745
León,PCPE,534
León,Recortes Cero-Grupo Verd,482
Lérida,DL,48289
Lérida,ERC-CATSI,44317
Lérida,EN COMÚ,30538
Lérida,PSC-PSOE,24668
Lérida,PP,22360
Lérida,C's,17897
Lérida,unio.cat,4867
Lérida,PACMA,1743
Lérida,UPyD,687
Lérida,VOX,465
Lérida,Recortes Cero-Grupo Verd,398
Lérida,PCPC,316
La Rioja,PP,67941
La Rioja,PSOE,41973
La Rioja,PODEMOS,28073
La Rioja,C's,26812
La Rioja,IU-UP,7423
La Rioja,UPyD,1361
La Rioja,PACMA,1177
La Rioja,Recortes Cero-Grupo Verd,360
La Rioja,PCPE,229
Lugo,PP,86446
Lugo,PSdeG-PSOE,48772
Lugo,PODEMOS-En Marea-ANOVA-EU,39122
Lugo,C's,15441
Lugo,BNG-CG-FOGA-PCPG-PG,7253
Lugo,PACMA,1633
Lugo,UPyD,971
Lugo,Recortes Cero-Grupo Verd,443
Lugo,PCPE,421
Madrid,PP,1210219
Madrid,PODEMOS,756257
Madrid,C's,681167
Madrid,PSOE,645645
Madrid,IU-UP,190193
Madrid,UPyD,43508
Madrid,PACMA,28322
Madrid,VOX,22643
Madrid,Recortes Cero-Grupo Verd,4037
Madrid,PCPE,1742
Málaga,PP,224745
Málaga,PSOE,208896
Málaga,PODEMOS,132980
Málaga,C's,132586
Málaga,IU-UP,52772
Málaga,PACMA,8886
Málaga,UPyD,4522
Málaga,VOX,1817
Málaga,PCPE,1029
Málaga,Recortes Cero-Grupo Verd,974
Murcia,PP,293943
Murcia,PSOE,147883
Murcia,C's,128570
Murcia,PODEMOS,110601
Murcia,IU-UP,22767
Murcia,PACMA,6591
Murcia,UPyD,5442
Murcia,VOX,3282
Murcia,Recortes Cero-Grupo Verd,1268
Murcia,PCPE,1051
Navarra,UPN-PP,102244
Navarra,PODEMOS,81216
Navarra,PSOE,54856
Navarra,EH Bildu,34939
Navarra,GBAI,30642
Navarra,C's,24969
Navarra,IU-UP,14528
Navarra,PACMA,2343
Navarra,UPyD,1452
Navarra,Recortes Cero-Grupo Verd,956
Orense,PP,86673
Orense,PSdeG-PSOE,44726
Orense,PODEMOS-En Marea-ANOVA-EU,34357
Orense,C's,15174
Orense,BNG-CG-FOGA-PCPG-PG,6455
Orense,PACMA,1406
Orense,UPyD,777
Orense,Recortes Cero-Grupo Verd,399
Oviedo,PP-FORO,187568
Oviedo,PSOE,145113
Oviedo,PODEMOS,132984
Oviedo,C's,84464
Oviedo,IU-UP,52583
Oviedo,PACMA,4555
Oviedo,UPyD,3855
Oviedo,VOX,1715
Oviedo,PCPE,1240
Oviedo,Recortes Cero-Grupo Verd,1038
Palencia,PP,42182
Palencia,PSOE,25698
Palencia,C's,14814
Palencia,PODEMOS,14083
Palencia,IU-UP,4699
Palencia,UPyD,828
Palencia,PACMA,624
Palencia,Recortes Cero-Grupo Verd,159
Palencia,PCPE,126
Las Palmas,PP,145372
Las Palmas,PODEMOS,136583
Las Palmas,PSOE-NCa,115521
Las Palmas,C's,63385
Las Palmas,CCa-PNC,21788
Las Palmas,IU-UP,15262
Las Palmas,PACMA,5351
Las Palmas,UPyD,2564
Las Palmas,Recortes Cero-Grupo Verd,1478
Las Palmas,PCPE,953
Las Palmas,VOX,774
Pontevedra,PP,197201
Pontevedra,PODEMOS-En Marea-ANOVA-EU,159638
Pontevedra,PSdeG-PSOE,118988
Pontevedra,C's,51453
Pontevedra,BNG-CG-FOGA-PCPG-PG,26537
Pontevedra,PACMA,5315
Pontevedra,UPyD,3177
Pontevedra,Recortes Cero-Grupo Verd,1439
Pontevedra,PCPE,1377
Salamanca,PP,89375
Salamanca,PSOE,45593
Salamanca,C's,35242
Salamanca,PODEMOS,25743
Salamanca,IU-UP,7017
Salamanca,UPyD,1669
Salamanca,PACMA,1175
Salamanca,VOX,822
Salamanca,Recortes Cero-Grupo Verd,319
Salamanca,PCPE,264
Santa Cruz de Tenerife,PP,138203
Santa Cruz de Tenerife,PSOE-NCa,102892
Santa Cruz de Tenerife,PODEMOS,94936
Santa Cruz de Tenerife,CCa-PNC,60129
Santa Cruz de Tenerife,C's,50257
Santa Cruz de Tenerife,IU-UP,15716
Santa Cruz de Tenerife,PACMA,6537
Santa Cruz de Tenerife,UPyD,2117
Santa Cruz de Tenerife,Recortes Cero-Grupo Verd,1182
Santa Cruz de Tenerife,VOX,772
Santa Cruz de Tenerife,PCPE,759
Cantabria,PP,129216
Cantabria,PSOE,78460
Cantabria,PODEMOS,62569
Cantabria,C's,53371
Cantabria,IU-UP,15488
Cantabria,PACMA,2943
Cantabria,UPyD,2875
Cantabria,VOX,901
Cantabria,Recortes Cero-Grupo Verd,529
Cantabria,PCPE,461
Segovia,PP,36182
Segovia,PSOE,19769
Segovia,C's,15665
Segovia,PODEMOS,13144
Segovia,IU-UP,3742
Segovia,UPyD,1274
Segovia,PACMA,517
Segovia,Recortes Cero-Grupo Verd,227
Segovia,PCPE,190
Sevilla,PSOE,371142
Sevilla,PP,275463
Sevilla,PODEMOS,208408
Sevilla,C's,142574
Sevilla,IU-UP,62309
Sevilla,PACMA,9976
Sevilla,UPyD,6421
Sevilla,VOX,2717
Sevilla,Recortes Cero-Grupo Verd,1413
Sevilla,PCPE,893
Soria,PP,20030
Soria,PSOE,12331
Soria,PODEMOS,8328
Soria,C's,7872
Soria,IU-UP,1836
Soria,UPyD,327
Soria,PACMA,192
Soria,Recortes Cero-Grupo Verd,86
Soria,PCPE,54
Tarragona,EN COMÚ,77036
Tarragona,ERC-CATSI,65272
Tarragona,PSC-PSOE,58922
Tarragona,DL,57071
Tarragona,C's,53152
Tarragona,PP,45619
Tarragona,unio.cat,6324
Tarragona,PACMA,4170
Tarragona,Recortes Cero-Grupo Verd,894
Tarragona,PCPC,705
Tarragona,UPyD,686
Teruel,PP-PAR,28282
Teruel,PSOE,19938
Teruel,PODEMOS,11895
Teruel,C's,11427
Teruel,IU-UP,3897
Teruel,UPyD,456
Teruel,PACMA,375
Teruel,Recortes Cero-Grupo Verd,139
Teruel,PCPE,97
Toledo,PP,149442
Toledo,PSOE,106988
Toledo,C's,53199
Toledo,PODEMOS,52587
Toledo,IU-UP,13590
Toledo,PACMA,3039
Toledo,UPyD,1901
Toledo,VOX,1509
Toledo,Recortes Cero-Grupo Verd,612
Toledo,PCPE,306
Valencia,PP,442578
Valencia,PODEMOS-COMPROMÍS,397207
Valencia,PSOE,276188
Valencia,C's,221896
Valencia,IU-UP,68961
Valencia,PACMA,14494
Valencia,UPyD,9990
Valencia,VOX,4135
Valencia,Recortes Cero-Grupo Verd,2761
Valencia,PCPE,2091
Valladolid,PP,121323
Valladolid,PSOE,70879
Valladolid,C's,56347
Valladolid,PODEMOS,50204
Valladolid,IU-UP,17935
Valladolid,UPyD,2940
Valladolid,PACMA,1735
Valladolid,VOX,1230
Valladolid,Recortes Cero-Grupo Verd,489
Valladolid,PCPE,429
Vizcaya,EAJ-PNV,182604
Vizcaya,PODEMOS,170728
Vizcaya,PSE-EE/PSOE,84893
Vizcaya,EH Bildu,81704
Vizcaya,PP,74560
Vizcaya,C's,25148
Vizcaya,IU-UP,18466
Vizcaya,PACMA,4342
Vizcaya,UPyD,2012
Vizcaya,Recortes Cero-Grupo Verd,1089
Vizcaya,PCPE,414
Zamora,PP,48160
Zamora,PSOE,25985
Zamora,PODEMOS,15865
Zamora,C's,14608
Zamora,IU-UP,5514
Zamora,UPyD,747
Zamora,PACMA,502
Zamora,Recortes Cero-Grupo Verd,187
Zamora,PCPE,128
Zaragoza,PP-PAR,161662
Zaragoza,PSOE,118936
Zaragoza,PODEMOS,102596
Zaragoza,C's,95130
Zaragoza,IU-UP,34869
Zaragoza,UPyD,4514
Zaragoza,PACMA,4057
Zaragoza,VOX,1849
Zaragoza,Recortes Cero-Grupo Verd,1088
Zaragoza,PCPE,845
Ceuta,PP,14813
Ceuta,PSOE,7627
Ceuta,PODEMOS,4646
Ceuta,C's,4392
Ceuta,IU-UP,431
Ceuta,PACMA,358
Ceuta,UPyD,197
Ceuta,Recortes Cero-Grupo Verd,146
Melilla,PP,12331
Melilla,PSOE,6905
Melilla,C's,4366
Melilla,PODEMOS,3215
Melilla,IU-UP,366
Melilla,PACMA,314
Melilla,UPyD,240
Melilla,Recortes Cero-Grupo Verd,46
