Provincia,Partido,Votos
La Coruña,PACMA,6857
La Coruña,Recortes Cero-Grupo Verd,1583
La Coruña,VOX,1026
Cuenca,PP,53004
Cuenca,PSOE,34426
Cuenca,PODEMOS-IU-EQUO,15263
Cuenca,C's,10868
Cuenca,PACMA,785
Cuenca,VOX,274
Cuenca,UPyD,195
Cuenca,Recortes Cero-Grupo Verd,130
Gerona,ERC-CATSÍ,80824
Gerona,CDC,71453
Gerona,ECP,53277
Gerona,PSC-PSOE,38558
Gerona,PP,31035
Gerona,C's,23748
Gerona,PACMA,4627
Gerona,Recortes Cero-Grupo Verd,583
Granada,PP,172721
Granada,PSOE,151445
Granada,PODEMOS-IU-EQUO,86975
Granada,C's,66000
Granada,PACMA,5228
Granada,UPyD,1158
Granada,VOX,993
Granada,Recortes Cero-Grupo Verd,763
Guadalajara,PP,52047
Guadalajara,PSOE,30282
Guadalajara,PODEMOS-IU-EQUO,23884
Guadalajara,C's,21586
Guadalajara,PACMA,1349
Guadalajara,VOX,541
Guadalajara,UPyD,413
Guadalajara,Recortes Cero-Grupo Verd,245
Guipúzcoa,PODEMOS/AHAL DUGU-IU-EQUO,104566
Guipúzcoa,EAJ-PNV,85015
Guipúzcoa,EH Bildu,69828
Guipúzcoa,PSE-EE/PSOE,51449
Guipúzcoa,PP,35312
Guipúzcoa,C's,11683
Guipúzcoa,PACMA,2788
Guipúzcoa,Recortes Cero-Grupo Verd,1172
Guipúzcoa,UPyD,478
Huelva,PSOE,88100
Huelva,PP,81959
Huelva,PODEMOS-IU-EQUO,40023
Huelva,C's,28685
Huelva,PACMA,2850
Huelva,Recortes Cero-Grupo Verd,470
Huelva,UPyD,464
Huelva,VOX,398
Huesca,PP-PAR,42332
Huesca,PSOE,29915
Huesca,PODEMOS-IU-EQUO,22430
Huesca,C's,17934
Huesca,PACMA,909
Huesca,VOX,399
Huesca,UPyD,239
Huesca,Recortes Cero-Grupo Verd,216
Jaén,PSOE,138612
Jaén,PP,131234
Jaén,PODEMOS-IU-EQUO,53239
Jaén,C's,38884
Jaén,PACMA,3238
Jaén,VOX,638
Jaén,UPyD,589
Jaén,Recortes Cero-Grupo Verd,455
León,PP,112723
León,PSOE,73681
León,PODEMOS-IU-EQUO,49484
León,C's,35870
León,PACMA,2184
León,VOX,620
León,UPyD,618
León,Recortes Cero-Grupo Verd,430
Lérida,ERC-CATSÍ,45525
Lérida,CDC,40985
Lérida,ECP,30182
Lérida,PP,24503
Lérida,PSC-PSOE,22533
Lérida,C's,12592
Lérida,PACMA,1930
Lérida,Recortes Cero-Grupo Verd,288
Lérida,VOX,198
La Rioja,PP,73708
La Rioja,PSOE,42010
La Rioja,PODEMOS-IU-EQUO,28772
La Rioja,C's,24180
La Rioja,PACMA,1350
La Rioja,UPyD,425
La Rioja,VOX,366
La Rioja,Recortes Cero-Grupo Verd,312
Lugo,PP,91516
Lugo,PSdeG-PSOE,45796
Lugo,PODEMOS-EN MAREA-ANOVA-EU,32752
Lugo,C's,13343
Lugo,BNG-NÓS,5009
Lugo,PACMA,1939
Lugo,Recortes Cero-Grupo Verd,514
Madrid,PP,1325665
Madrid,PODEMOS-IU-EQUO,737885
Madrid,PSOE,678340
Madrid,C's,616503
Madrid,PACMA,39117
Madrid,VOX,16803
Madrid,UPyD,14659
Madrid,Recortes Cero-Grupo Verd,7377
Málaga,PP,256033
Málaga,PSOE,201444
Málaga,PODEMOS-IU-EQUO,140829
Málaga,C's,121294
Málaga,PACMA,11523
Málaga,UPyD,1832
Málaga,VOX,1770
Málaga,Recortes Cero-Grupo Verd,1461
Murcia,PP,333109
Murcia,PSOE,144937
Murcia,C's,111961
Murcia,PODEMOS-IU-EQUO,103522
Murcia,PACMA,8209
Murcia,VOX,2622
Murcia,UPyD,2083
Murcia,Recortes Cero-Grupo Verd,1305
Navarra,UPN-PP,106976
Navarra,PODEMOS-IU-EQUO-BATZARRE,94972
Navarra,PSOE,58173
Navarra,EH Bildu,31374
Navarra,C's,20505
Navarra,PACMA,2757
Navarra,Recortes Cero-Grupo Verd,1089
Navarra,UPyD,591
Orense,PP,92539
Orense,PSdeG-PSOE,43429
Orense,PODEMOS-EN MAREA-ANOVA-EU,29136
Orense,C's,13133
Orense,BNG-NÓS,4107
Orense,PACMA,1671
Orense,Recortes Cero-Grupo Verd,417
Oviedo,PP-FORO,209632
Oviedo,PSOE,147920
Oviedo,PODEMOS-IU-EQUO,141845
Oviedo,C's,74961
Oviedo,PACMA,6398
Oviedo,VOX,1442
Oviedo,UPyD,1391
Oviedo,Recortes Cero-Grupo Verd,1086
Palencia,PP,45965
Palencia,PSOE,24751
Palencia,PODEMOS-IU-EQUO,15077
Palencia,C's,12428
Palencia,PACMA,761
Palencia,UPyD,273
Palencia,Recortes Cero-Grupo Verd,202
Las Palmas,PP,170316
Las Palmas,PSOE-NCa,119351
Las Palmas,PODEMOS-IU-EQUO,113256
Las Palmas,C's,65172
Las Palmas,CCa-PNC,17982
Las Palmas,PACMA,6730
Las Palmas,Recortes Cero-Grupo Verd,1552
Las Palmas,UPyD,978
Las Palmas,VOX,882
Pontevedra,PP,208921
Pontevedra,PODEMOS-EN MAREA-ANOVA-EU,137088
Pontevedra,PSdeG-PSOE,118816
Pontevedra,C's,48302
Pontevedra,BNG-NÓS,16793
Pontevedra,PACMA,6497
Pontevedra,Recortes Cero-Grupo Verd,1360
Pontevedra,UPyD,975
Salamanca,PP,97672
Salamanca,PSOE,43252
Salamanca,C's,31878
Salamanca,PODEMOS-IU-EQUO,25441
Salamanca,PACMA,1359
Salamanca,UPyD,683
Salamanca,Recortes Cero-Grupo Verd,326
Santa Cruz de Tenerife,PP,163129
Santa Cruz de Tenerife,PSOE-NCa,101120
Santa Cruz de Tenerife,PODEMOS-IU-EQUO,85178
Santa Cruz de Tenerife,CCa-PNC,60271
Santa Cruz de Tenerife,C's,52576
Santa Cruz de Tenerife,PACMA,8243
Santa Cruz de Tenerife,Recortes Cero-Grupo Verd,1417
Cantabria,PP,140252
Cantabria,PSOE,79407
Cantabria,PODEMOS-IU-EQUO,59845
Cantabria,C's,48626
Cantabria,PACMA,3369
Cantabria,UPyD,1051
Cantabria,VOX,713
Cantabria,Recortes Cero-Grupo Verd,483
Segovia,PP,40172
Segovia,PSOE,19014
Segovia,C's,13595
Segovia,PODEMOS-IU-EQUO,13440
Segovia,PACMA,612
Segovia,UPyD,352
Segovia,VOX,277
Segovia,Recortes Cero-Grupo Verd,202
Sevilla,PSOE,347470
Sevilla,PP,299884
Sevilla,PODEMOS-IU-EQUO,214663
Sevilla,C's,138086
Sevilla,PACMA,13389
Sevilla,UPyD,2712
Sevilla,VOX,2146
Sevilla,Recortes Cero-Grupo Verd,1950
Soria,PP,22264
Soria,PSOE,12762
Soria,PODEMOS-IU-EQUO,7599
Soria,C's,5679
Soria,PACMA,260
Soria,UPyD,125
Soria,VOX,119
Soria,Recortes Cero-Grupo Verd,90
Tarragona,ECP,75328
Tarragona,ERC-CATSÍ,67759
Tarragona,PSC-PSOE,53967
Tarragona,PP,51241
Tarragona,CDC,47226
Tarragona,C's,39082
Tarragona,PACMA,5680
Tarragona,Recortes Cero-Grupo Verd,853
Teruel,PP-PAR,30913
Teruel,PSOE,19724
Teruel,PODEMOS-IU-EQUO,12558
Teruel,C's,9871
Teruel,PACMA,402
Teruel,Recortes Cero-Grupo Verd,125
Toledo,PP,159521
Toledo,PSOE,97733
Toledo,PODEMOS-IU-EQUO,53994
Toledo,C's,47705
Toledo,PACMA,3386
Toledo,VOX,1013
Toledo,UPyD,695
Toledo,Recortes Cero-Grupo Verd,564
Valencia,PP,482855
Valencia,PODEMOS-COMPROMÍS-EUPV,394227
Valencia,PSOE,285732
Valencia,C's,205489
Valencia,PACMA,18994
Valencia,VOX,3381
Valencia,UPyD,2962
Valencia,Recortes Cero-Grupo Verd,2944
Valladolid,PP,132026
Valladolid,PSOE,71780
Valladolid,PODEMOS-IU-EQUO,51637
Valladolid,C's,49283
Valladolid,PACMA,2225
Valladolid,VOX,1078
Valladolid,UPyD,1068
Valladolid,Recortes Cero-Grupo Verd,524
Vizcaya,PODEMOS/AHAL DUGU-IU-EQUO,179347
Vizcaya,EAJ-PNV,175296
Vizcaya,PSE-EE/PSOE,86425
Vizcaya,PP,78965
Vizcaya,EH Bildu,67653
Vizcaya,C's,20685
Vizcaya,PACMA,4865
Vizcaya,Recortes Cero-Grupo Verd,1176
Vizcaya,UPyD,766
Vizcaya,VOX,641
Zamora,PP,52555
Zamora,PSOE,26045
Zamora,PODEMOS-IU-EQUO,15403
Zamora,C's,12423
Zamora,PACMA,537
Zamora,UPyD,256
Zamora,Recortes Cero-Grupo Verd,174
Zaragoza,PP-PAR,179211
Zaragoza,PSOE,125321
Zaragoza,PODEMOS-IU-EQUO,104199
Zaragoza,C's,86434
Zaragoza,PACMA,5025
Zaragoza,VOX,1614
Zaragoza,UPyD,1395
Zaragoza,Recortes Cero-Grupo Verd,1137
Ceuta,PP,15991
Ceuta,PSOE,6974
Ceuta,C's,3549
Ceuta,PODEMOS-IU-EQUO,3345
Ceuta,PACMA,333
Ceuta,VOX,139
Ceuta,Recortes Cero-Grupo Verd,118
Ceuta,UPyD,72
Melilla,PP,13522
Melilla,PSOE,6805
Melilla,C's,3352
Melilla,UNIDOS PODEMOS,2667
Melilla,PACMA,317
Melilla,UPyD,146
Melilla,Recortes Cero-Grupo Verd,44
